time_step,hopper_level,belt_speed,flow_rate,olives_weight,label_jam_imminent,vibrator_intensity
82,96.09,0.499,1.34,303.9,0,0.0
83,96.05,0.508,1.51,297.8,0,0.0
84,96.01,0.492,1.09,303.9,0,0.0
85,95.92,0.486,1.69,299.9,0,0.0
86,95.82,0.487,1.3,311.0,0,0.0
87,95.8,0.496,1.44,310.2,0,0.0
88,95.76,0.519,1.62,302.5,0,0.0
89,95.66,0.511,2.01,301.7,0,0.0
90,95.62,0.496,2.03,314.0,0,0.0
91,95.6,0.483,1.54,307.6,0,0.0
92,95.57,0.484,1.33,305.6,0,0.0
93,95.52,0.503,1.78,298.9,0,0.0
94,95.42,0.519,1.44,314.1,0,0.0
95,95.34,0.506,1.22,285.1,0,0.0
96,95.31,0.49,1.84,306.1,0,0.0
97,95.22,0.503,1.39,302.3,0,0.0
98,95.14,0.506,1.57,310.8,0,0.0
99,95.1,0.518,1.53,292.0,0,0.0
100,95.04,0.512,1.5,300.8,0,0.0
101,94.94,0.491,1.28,314.4,0,0.0
102,94.87,0.513,1.75,290.4,0,0.0
103,94.8,0.506,1.5,286.4,0,0.0
104,94.76,0.508,1.55,288.2,0,0.0
105,94.75,0.486,1.01,305.6,0,0.0
106,94.67,0.488,1.27,300.7,0,0.0
107,94.66,0.5,1.22,296.3,0,0.0
108,94.66,0.518,1.11,297.6,0,0.0
109,94.62,0.51,1.88,290.6,0,0.0
110,94.61,0.51,1.87,288.8,0,0.0
111,94.58,0.489,1.74,313.0,0,0.0
112,94.51,0.488,1.11,314.3,0,0.0
113,94.5,0.499,1.5,289.3,0,0.0
114,94.47,0.485,1.29,303.6,0,0.0
115,94.45,0.499,1.03,289.7,0,0.0
116,94.38,0.505,1.03,294.2,0,0.0
117,94.28,0.519,1.61,314.3,0,0.0
118,94.2,0.494,0.97,289.6,0,0.0
119,94.11,0.499,1.11,305.7,0,0.0
120,94.04,0.51,1.91,313.0,0,0.0
121,93.99,0.489,1.75,291.3,0,0.0
122,93.94,0.517,1.77,291.6,0,0.0
123,93.88,0.518,1.02,292.0,0,0.0
124,93.79,0.502,1.65,293.0,0,0.0
125,93.79,0.51,1.36,303.6,0,0.0
126,93.71,0.487,1.31,306.8,0,0.0
127,93.61,0.514,1.51,294.9,0,0.0
128,93.58,0.503,1.61,309.0,0,0.0
129,93.53,0.488,1.33,314.7,0,0.0
130,93.46,0.488,1.67,305.2,0,0.0
131,93.42,0.504,1.72,296.1,0,0.0
132,93.38,0.509,1.5,302.2,0,0.0
133,93.35,0.484,1.53,310.6,0,0.0
134,93.34,0.515,1.45,299.6,0,0.0
135,93.29,0.493,1.78,295.6,0,0.0
136,93.27,0.507,1.68,298.0,0,0.0
137,93.17,0.482,1.51,296.0,0,0.0
138,93.09,0.505,1.57,300.5,0,0.0
139,93.04,0.49,1.48,285.1,0,0.0
140,93.0,0.513,1.15,304.1,0,0.0
141,92.9,0.5,1.45,315.0,0,0.0
142,92.8,0.515,1.35,304.2,0,0.0
143,92.7,0.505,1.63,287.5,0,0.0
144,92.67,0.493,1.85,297.5,0,0.0
145,92.62,0.506,1.7,299.3,0,0.0
146,92.54,0.499,1.99,309.0,0,0.0
147,92.46,0.514,1.25,313.2,0,0.0
148,92.45,0.482,0.98,296.9,0,0.0
149,92.39,0.481,1.67,298.5,0,0.0
150,92.31,0.505,1.97,309.1,0,0.0
151,92.23,0.506,1.83,287.1,0,0.0
152,92.17,0.508,1.66,309.1,0,0.0
153,92.11,0.52,1.28,293.6,0,0.0
154,92.05,0.491,1.32,312.8,0,0.0
155,91.97,0.49,1.8,299.8,0,0.0
156,91.89,0.513,1.92,300.6,0,0.0
157,91.85,0.49,1.62,301.1,0,0.0
158,91.81,0.519,1.82,312.8,0,0.0
159,91.81,0.51,1.52,309.6,0,0.0
160,91.72,0.511,1.2,286.8,0,0.0
161,91.71,0.484,1.08,303.2,0,0.0
162,91.68,0.5,1.48,290.8,0,0.0
163,91.63,0.5,2.01,312.3,0,0.0
164,91.6,0.52,1.29,308.6,0,0.0
165,91.55,0.507,1.66,306.6,0,0.0
166,91.46,0.504,1.74,311.0,0,0.0
167,91.43,0.516,1.55,297.6,0,0.0
168,91.35,0.503,1.91,290.9,0,0.0
169,91.35,0.498,1.68,293.5,0,0.0
170,91.28,0.514,0.99,285.5,0,0.0
171,91.24,0.497,1.19,291.2,0,0.0
172,91.17,0.49,1.99,312.9,0,0.0
173,91.09,0.486,1.86,309.6,0,0.0
174,91.07,0.496,1.18,314.1,0,0.0
175,91.04,0.489,1.73,293.5,0,0.0
176,91.04,0.512,1.28,307.3,0,0.0
177,91.02,0.48,0.96,296.6,0,0.0
178,90.98,0.488,1.55,286.4,0,0.0
179,90.92,0.514,2.0,302.0,0,0.0
180,90.82,0.502,1.51,289.2,0,0.0
181,90.73,0.488,1.61,292.8,0,0.0
182,90.72,0.482,1.79,314.8,0,0.0
183,90.66,0.503,1.87,308.8,0,0.0
184,90.6,0.501,1.29,295.4,0,0.0
185,90.55,0.518,1.65,303.5,0,0.0
186,90.54,0.506,1.58,311.0,0,0.0
187,90.46,0.502,1.4,288.5,0,0.0
188,90.44,0.496,2.01,312.6,0,0.0
189,90.41,0.486,1.85,296.9,0,0.0
190,90.41,0.513,1.47,291.6,0,0.0
191,90.32,0.497,1.07,295.8,0,0.0
192,90.3,0.482,1.9,292.7,0,0.0
193,90.26,0.489,1.0,306.4,0,0.0
194,90.18,0.492,1.57,311.0,0,0.0
195,90.09,0.491,1.78,305.7,0,0.0
196,90.02,0.489,1.6,288.1,0,0.0
197,89.98,0.52,1.61,303.2,0,0.0
198,89.95,0.508,1.08,307.1,0,0.0
199,89.95,0.485,1.15,311.4,0,0.0
200,89.89,0.487,1.23,290.3,0,0.0
201,89.85,0.505,1.95,291.3,0,0.0
202,89.85,0.507,1.56,287.5,0,0.0
203,89.82,0.488,1.59,302.5,0,0.0
204,89.8,0.515,1.2,302.0,0,0.0
205,89.74,0.492,1.53,314.6,0,0.0
206,89.66,0.494,1.1,306.1,0,0.0
207,89.63,0.483,1.17,314.2,0,0.0
208,89.54,0.52,1.97,287.8,0,0.0
209,89.45,0.517,1.36,305.4,0,0.0
210,89.35,0.513,1.21,307.8,0,0.0
211,89.33,0.483,1.79,289.3,0,0.0
212,89.27,0.497,1.55,296.0,0,0.0
213,89.27,0.508,1.7,314.0,0,0.0
214,89.26,0.51,1.95,296.7,0,0.0
215,89.23,0.519,1.41,294.7,0,0.0
216,89.14,0.484,1.74,310.7,0,0.0
217,89.09,0.492,1.22,294.1,0,0.0
218,89.07,0.515,1.77,308.7,0,0.0
219,88.98,0.482,1.7,307.9,0,0.0
220,88.95,0.516,1.94,308.4,0,0.0
221,88.92,0.486,1.17,306.9,0,0.0
222,88.92,0.48,1.58,293.1,0,0.0
223,88.86,0.492,1.75,290.7,0,0.0
224,88.84,0.483,1.49,301.9,0,0.0
225,88.78,0.495,1.51,290.9,0,0.0
226,88.71,0.493,1.58,312.9,0,0.0
227,88.67,0.494,1.27,298.4,0,0.0
228,88.58,0.503,1.25,295.2,0,0.0
229,88.55,0.488,1.99,312.8,0,0.0
230,88.53,0.489,1.17,288.1,0,0.0
231,88.46,0.492,1.35,295.4,0,0.0
232,88.39,0.481,1.79,303.8,0,0.0
233,88.34,0.497,1.61,297.0,0,0.0
234,88.28,0.497,1.07,300.3,0,0.0
235,88.28,0.489,1.2,298.1,0,0.0
236,88.26,0.506,1.08,306.4,0,0.0
237,88.24,0.489,1.59,306.0,0,0.0
238,88.2,0.494,1.82,294.8,0,0.0
239,88.17,0.514,1.79,313.4,0,0.0
240,88.13,0.497,1.31,287.5,0,0.0
241,88.11,0.485,1.37,312.0,0,0.0
242,88.04,0.513,1.27,293.1,0,0.0
243,87.98,0.494,1.64,297.9,0,0.0
244,87.88,0.487,1.89,301.3,0,0.0
245,87.85,0.514,1.48,296.0,0,0.0
246,87.81,0.488,1.7,311.5,0,0.0
247,87.79,0.494,1.92,314.4,0,0.0
248,87.71,0.507,1.71,285.5,0,0.0
249,87.64,0.509,1.21,313.1,0,0.0
250,87.6,0.491,1.82,287.6,0,0.0
251,87.52,0.485,1.24,305.2,0,0.0
252,87.44,0.495,1.25,290.9,0,0.0
253,87.42,0.491,1.41,294.6,0,0.0
254,87.37,0.502,1.24,295.0,0,0.0
255,87.31,0.49,1.9,301.6,0,0.0
256,87.27,0.482,1.16,287.6,0,0.0
257,87.23,0.498,1.02,292.0,0,0.0
258,87.22,0.49,1.09,305.6,0,0.0
259,87.19,0.514,1.36,287.2,0,0.0
260,87.13,0.487,1.39,310.5,0,0.0
261,87.04,0.486,1.92,313.8,0,0.0
262,86.94,0.489,1.8,285.1,0,0.0
263,86.9,0.488,1.47,311.3,0,0.0
264,86.82,0.501,1.95,299.9,0,0.0
265,86.74,0.491,1.06,299.0,0,0.0
266,86.74,0.487,1.67,296.6,0,0.0
267,86.68,0.514,1.36,293.3,0,0.0
268,86.64,0.51,1.71,311.6,0,0.0
269,86.6,0.483,0.94,288.9,0,0.0
270,86.5,0.507,1.37,290.1,0,0.0
271,86.48,0.514,1.9,287.4,0,0.0
272,86.45,0.496,1.77,293.7,0,0.0
273,86.42,0.483,1.48,285.5,0,0.0
274,86.41,0.486,1.16,303.8,0,0.0
275,86.34,0.515,1.27,305.5,0,0.0
276,86.33,0.488,1.26,308.3,0,0.0
277,86.32,0.494,1.39,302.7,0,0.0
278,86.3,0.503,1.27,313.7,0,0.0
279,86.27,0.496,1.43,312.3,0,0.0
280,86.21,0.481,1.78,290.2,0,0.0
281,86.15,0.511,1.12,285.8,0,0.0
282,86.05,0.482,1.48,308.1,0,0.0
283,85.96,0.489,1.78,299.8,0,0.0
284,85.9,0.504,1.43,309.0,0,0.0
285,85.81,0.51,1.81,308.0,0,0.0
286,85.72,0.511,1.37,301.0,0,0.0
287,85.68,0.496,1.4,303.6,0,0.0
288,85.59,0.488,1.48,293.8,0,0.0
289,85.59,0.481,2.01,314.8,0,0.0
290,85.54,0.483,1.55,286.6,0,0.0
291,85.5,0.51,1.09,302.1,0,0.0
292,85.42,0.501,1.94,304.2,0,0.0
293,85.4,0.481,1.45,297.6,0,0.0
294,85.35,0.5,1.34,302.5,0,0.0
295,85.32,0.489,1.4,303.3,0,0.0
296,85.27,0.503,1.58,297.7,0,0.0
297,85.18,0.51,1.71,294.3,0,0.0
298,85.1,0.51,1.76,296.1,0,0.0
299,85.04,0.496,1.2,288.5,0,0.0
300,84.99,0.483,1.03,306.0,0,0.0
301,84.95,0.487,1.04,294.1,0,0.0
302,84.9,0.485,1.12,308.6,0,0.0
303,84.84,0.5,1.97,312.0,0,0.0
304,84.79,0.496,1.28,306.6,0,0.0
305,84.7,0.511,1.49,305.9,0,0.0
306,84.6,0.482,1.41,314.8,0,0.0
307,84.57,0.507,1.21,298.6,0,0.0
308,84.56,0.503,1.45,289.9,0,0.0
309,84.48,0.511,1.52,311.1,0,0.0
310,84.45,0.489,1.61,307.6,0,0.0
311,84.35,0.5,1.43,295.4,0,0.0
312,84.31,0.501,1.91,311.6,0,0.0
313,84.22,0.492,1.6,306.0,0,0.0
314,84.19,0.519,1.61,293.4,0,0.0
315,84.09,0.51,1.69,310.4,0,0.0
316,84.0,0.487,1.59,305.0,0,0.0
317,83.95,0.481,1.74,295.0,0,0.0
318,83.86,0.501,1.15,295.3,0,0.0
319,83.79,0.52,2.07,309.7,0,0.0
320,83.75,0.51,1.13,292.6,0,0.0
321,83.67,0.502,1.77,297.7,0,0.0
322,83.58,0.519,1.8,306.2,0,0.0
323,83.55,0.501,1.28,312.6,0,0.0
324,83.51,0.484,1.24,304.0,0,0.0
325,83.45,0.507,1.56,285.8,0,0.0
326,83.4,0.491,1.19,305.9,0,0.0
327,83.35,0.507,1.8,313.9,0,0.0
328,83.31,0.497,1.98,307.2,0,0.0
329,83.22,0.507,1.82,287.3,0,0.0
330,83.17,0.489,1.01,300.3,0,0.0
331,83.14,0.497,0.95,287.0,0,0.0
332,83.13,0.492,1.49,300.3,0,0.0
333,83.08,0.49,1.35,304.8,0,0.0
334,83.07,0.482,1.78,304.5,0,0.0
335,83.04,0.518,1.86,286.9,0,0.0
336,82.98,0.512,1.71,300.9,0,0.0
337,82.93,0.5,1.76,285.6,0,0.0
338,82.88,0.488,1.89,310.5,0,0.0
339,82.8,0.49,1.21,285.0,0,0.0
340,82.76,0.492,0.98,297.4,0,0.0
341,82.71,0.491,1.42,311.1,0,0.0
342,82.69,0.489,1.77,288.9,0,0.0
343,82.59,0.516,1.46,286.2,0,0.0
344,82.56,0.485,1.9,307.2,0,0.0
345,82.49,0.486,1.91,304.3,0,0.0
346,82.48,0.491,1.2,294.8,0,0.0
347,82.4,0.485,1.46,315.0,0,0.0
348,82.35,0.513,1.48,313.2,0,0.0
349,82.25,0.49,1.18,311.7,0,0.0
350,82.16,0.519,1.84,303.9,0,0.0
351,82.15,0.503,1.74,305.1,0,0.0
352,82.11,0.5,1.27,304.6,0,0.0
353,82.09,0.51,1.49,303.7,0,0.0
354,82.04,0.504,1.18,306.0,0,0.0
355,81.98,0.52,1.08,294.8,0,0.0
356,81.88,0.519,1.5,305.8,0,0.0
357,81.83,0.481,1.05,297.2,0,0.0
358,81.76,0.481,1.3,311.6,0,0.0
359,81.73,0.501,1.17,302.9,0,0.0
360,81.7,0.499,0.97,288.1,0,0.0
361,81.68,0.49,0.95,286.5,0,0.0
362,81.64,0.481,1.67,293.5,0,0.0
363,81.57,0.486,1.01,295.3,0,0.0
364,81.53,0.485,1.58,303.0,0,0.0
365,81.52,0.519,1.18,288.7,0,0.0
366,81.45,0.509,1.5,291.0,0,0.0
367,81.39,0.503,1.15,294.7,0,0.0
368,81.32,0.501,1.36,300.8,0,0.0
369,81.24,0.508,1.52,285.8,0,0.0
370,81.16,0.502,1.71,313.3,0,0.0
371,81.12,0.51,1.7,312.9,0,0.0
372,81.1,0.508,1.33,308.8,0,0.0
373,81.06,0.494,1.31,294.2,0,0.0
374,81.06,0.518,1.65,309.1,0,0.0
375,80.96,0.499,1.09,287.2,0,0.0
376,80.9,0.505,1.19,293.7,0,0.0
377,80.84,0.491,1.24,289.2,0,0.0
378,80.75,0.504,1.68,296.1,0,0.0
379,80.65,0.502,1.72,286.3,0,0.0
380,80.58,0.502,1.32,309.1,0,0.0
381,80.54,0.516,1.08,293.5,0,0.0
382,80.53,0.49,1.51,293.7,0,0.0
383,80.43,0.517,1.44,293.2,0,0.0
384,80.39,0.518,1.43,307.0,0,0.0
385,80.35,0.502,0.98,288.5,0,0.0
386,80.26,0.486,1.45,297.5,0,0.0
387,80.16,0.518,1.05,298.7,0,0.0
388,80.14,0.499,1.88,310.9,0,0.0
389,80.05,0.509,1.54,296.8,0,0.0
390,79.98,0.505,1.78,300.7,0,0.0
391,79.89,0.503,1.17,299.5,0,0.0
392,79.8,0.503,1.47,286.5,0,0.0
393,79.71,0.497,1.94,290.3,0,0.0
394,79.65,0.493,1.23,305.0,0,0.0
395,79.59,0.506,1.88,293.1,0,0.0
396,79.58,0.519,1.2,294.2,0,0.0
397,79.56,0.512,1.53,296.5,0,0.0
398,79.46,0.5,1.86,287.1,0,0.0
399,79.44,0.51,1.4,304.8,0,0.0
400,79.35,0.481,1.11,298.9,0,0.0
401,79.29,0.488,1.06,297.0,0,0.0
402,79.25,0.483,1.68,308.0,0,0.0
403,79.25,0.518,1.8,292.5,0,0.0
404,79.19,0.489,1.44,288.3,0,0.0
405,79.13,0.512,1.78,297.9,0,0.0
406,79.11,0.499,1.99,309.9,0,0.0
407,79.06,0.515,1.97,296.9,0,0.0
408,79.0,0.512,1.03,288.9,0,0.0
409,78.92,0.486,1.73,313.0,0,0.0
410,78.89,0.509,1.39,301.5,0,0.0
411,78.8,0.492,1.85,288.2,0,0.0
412,78.7,0.497,1.65,292.5,0,0.0
413,78.62,0.501,1.84,295.7,0,0.0
414,78.54,0.483,1.06,307.0,0,0.0
415,78.46,0.486,1.62,286.0,0,0.0
416,78.4,0.498,1.39,309.1,0,0.0
417,78.36,0.498,1.7,296.6,0,0.0
418,78.35,0.507,1.51,310.6,0,0.0
419,78.33,0.507,1.97,300.3,0,0.0
420,78.32,0.492,1.8,301.9,0,0.0
421,78.3,0.485,1.09,305.6,0,0.0
422,78.21,0.496,1.91,290.4,0,0.0
423,78.17,0.491,1.35,292.7,0,0.0
424,78.1,0.486,1.63,304.2,0,0.0
425,78.02,0.483,1.33,304.3,0,0.0
426,78.01,0.496,1.72,298.8,0,0.0
427,77.98,0.513,1.92,292.0,0,0.0
428,77.91,0.486,1.03,313.6,0,0.0
429,77.82,0.491,1.44,301.7,0,0.0
430,77.8,0.484,1.56,313.5,0,0.0
431,77.78,0.513,1.65,310.7,0,0.0
432,77.72,0.484,1.88,308.2,0,0.0
433,77.69,0.485,1.77,294.4,0,0.0
434,77.61,0.498,1.61,297.4,0,0.0
435,77.53,0.501,1.52,286.9,0,0.0
436,77.45,0.482,1.74,293.4,0,0.0
437,77.41,0.516,1.04,298.1,0,0.0
438,77.33,0.484,1.37,311.7,0,0.0
439,77.27,0.507,1.08,300.0,0,0.0
440,77.18,0.486,1.44,298.9,0,0.0
441,77.15,0.514,1.22,311.2,0,0.0
442,77.13,0.504,1.32,297.1,0,0.0
443,77.1,0.481,1.07,311.6,0,0.0
444,77.01,0.485,1.08,314.6,0,0.0
445,76.96,0.493,1.44,300.0,0,0.0
446,76.91,0.518,1.03,287.2,0,0.0
447,76.9,0.507,1.3,303.7,0,0.0
448,76.83,0.517,1.88,288.4,0,0.0
449,76.74,0.511,1.3,290.3,0,0.0
450,76.67,0.496,1.43,314.6,0,0.0
451,76.65,0.496,1.76,291.0,0,0.0
452,76.61,0.509,1.53,304.6,0,0.0
453,76.51,0.49,1.63,288.4,0,0.0
454,76.46,0.49,1.83,306.9,0,0.0
455,76.44,0.495,1.64,305.5,0,0.0
456,76.39,0.519,1.62,287.6,0,0.0
457,76.38,0.504,1.66,285.9,0,0.0
458,76.37,0.485,1.01,296.6,0,0.0
459,76.35,0.487,1.05,309.1,0,0.0
460,76.34,0.496,1.21,297.7,0,0.0
461,76.3,0.508,2.0,296.9,0,0.0
462,76.24,0.519,2.0,299.2,0,0.0
463,76.2,0.487,1.04,313.6,0,0.0
464,76.15,0.488,0.97,301.9,0,0.0
465,76.07,0.51,1.24,287.2,0,0.0
466,75.99,0.499,1.41,301.9,0,0.0
467,75.94,0.485,1.61,299.9,0,0.0
468,75.84,0.508,1.65,308.6,0,0.0
469,75.79,0.483,1.42,311.9,0,0.0
470,75.71,0.489,1.36,309.7,0,0.0
471,75.62,0.506,1.78,296.7,0,0.0
472,75.59,0.486,1.76,310.0,0,0.0
473,75.55,0.517,1.21,291.9,0,0.0
474,75.51,0.481,1.05,296.0,0,0.0
475,75.46,0.49,1.84,290.0,0,0.0
476,75.45,0.487,1.11,285.4,0,0.0
477,75.43,0.496,1.61,313.4,0,0.0
478,75.34,0.507,1.83,294.2,0,0.0
479,75.31,0.512,1.92,293.6,0,0.0
480,75.24,0.489,1.06,313.8,0,0.0
481,75.23,0.49,1.96,298.7,0,0.0
482,75.23,0.512,1.24,287.9,0,0.0
483,75.2,0.518,1.91,306.9,0,0.0
484,75.19,0.501,1.33,309.5,0,0.0
485,75.12,0.485,1.11,305.2,0,0.0
486,75.09,0.508,1.58,303.9,0,0.0
487,75.04,0.493,1.51,308.1,0,0.0
488,74.95,0.51,1.69,301.2,0,0.0
489,74.86,0.483,1.93,303.2,0,0.0
490,74.86,0.483,1.19,308.5,0,0.0
491,74.78,0.508,1.83,292.9,0,0.0
492,74.71,0.482,1.58,293.2,0,0.0
493,74.7,0.488,1.71,313.4,0,0.0
494,74.67,0.52,1.64,307.1,0,0.0
495,74.58,0.495,1.76,288.2,0,0.0
496,74.53,0.514,1.6,297.8,0,0.0
497,74.46,0.503,1.21,292.6,0,0.0
498,74.44,0.503,1.66,286.8,0,0.0
499,74.35,0.485,1.82,301.3,0,0.0
500,74.26,0.511,1.06,301.9,0,0.0
501,74.22,0.506,1.82,287.6,0,0.0
502,74.12,0.497,1.61,307.2,0,0.0
503,74.06,0.481,1.77,290.8,0,0.0
504,73.99,0.504,1.71,295.7,0,0.0
505,73.95,0.513,1.52,286.6,0,0.0
506,73.91,0.482,1.71,291.1,0,0.0
507,73.86,0.499,1.5,302.5,0,0.0
508,73.85,0.493,1.58,297.4,0,0.0
509,73.8,0.49,1.76,309.8,0,0.0
510,73.73,0.483,1.87,300.5,0,0.0
511,73.71,0.502,1.38,309.4,0,0.0
512,73.68,0.512,1.79,304.3,0,0.0
513,73.64,0.498,1.87,309.9,0,0.0
514,73.55,0.483,1.47,308.7,0,0.0
515,73.48,0.48,1.05,314.0,0,0.0
516,73.42,0.491,2.02,312.8,0,0.0
517,73.33,0.505,1.54,287.6,0,0.0
518,73.33,0.51,1.54,305.0,0,0.0
519,73.27,0.508,1.68,291.6,0,0.0
520,73.19,0.486,0.99,288.8,0,0.0
521,73.1,0.505,0.97,288.6,0,0.0
522,73.05,0.51,1.85,298.1,0,0.0
523,72.95,0.503,1.43,303.8,0,0.0
524,72.89,0.502,0.97,292.9,0,0.0
525,72.81,0.51,1.73,287.3,0,0.0
526,72.8,0.516,1.81,289.5,0,0.0
527,72.7,0.491,1.88,298.3,0,0.0
528,72.66,0.51,1.24,294.9,0,0.0
529,72.59,0.484,1.95,302.8,0,0.0
530,72.53,0.48,1.43,297.0,0,0.0
531,72.45,0.504,1.93,291.2,0,0.0
532,72.36,0.488,1.04,298.7,0,0.0
533,72.32,0.483,2.0,313.3,0,0.0
534,72.26,0.489,1.42,312.9,0,0.0
535,72.24,0.512,1.17,310.2,0,0.0
536,72.2,0.518,1.71,301.7,0,0.0
537,72.11,0.517,1.98,303.5,0,0.0
538,72.06,0.515,1.36,289.9,0,0.0
539,72.05,0.506,1.11,294.3,0,0.0
540,71.95,0.5,1.86,299.0,0,0.0
541,71.86,0.519,1.21,296.4,0,0.0
542,71.84,0.501,1.01,286.9,0,0.0
543,71.82,0.507,1.54,291.4,0,0.0
544,71.77,0.492,1.88,296.0,0,0.0
545,71.73,0.483,1.64,311.0,0,0.0
546,71.65,0.496,1.77,287.8,0,0.0
547,71.62,0.483,1.61,297.7,0,0.0
548,71.62,0.519,1.31,304.3,0,0.0
549,71.54,0.499,1.49,302.6,0,0.0
550,71.45,0.489,1.85,309.9,0,0.0
551,71.39,0.515,1.42,308.1,0,0.0
552,71.37,0.494,1.44,303.7,0,0.0
553,71.33,0.484,1.01,305.1,0,0.0
554,71.24,0.487,1.46,291.8,0,0.0
555,71.15,0.493,1.15,291.9,0,0.0
556,71.11,0.482,1.58,293.3,0,0.0
557,71.04,0.5,1.83,291.3,0,0.0
558,70.97,0.519,1.77,312.5,0,0.0
559,70.89,0.493,1.02,305.8,0,0.0
560,70.82,0.509,1.77,306.4,0,0.0
561,70.77,0.483,1.3,286.5,0,0.0
562,70.75,0.494,1.57,298.6,0,0.0
563,70.69,0.5,1.28,298.4,0,0.0
564,70.6,0.495,1.54,301.1,0,0.0
565,70.55,0.514,1.47,295.4,0,0.0
566,70.53,0.482,0.99,294.9,0,0.0
567,70.48,0.512,2.02,308.9,0,0.0
568,70.43,0.517,1.68,291.3,0,0.0
569,70.42,0.495,1.09,285.7,0,0.0
570,70.39,0.484,1.07,310.9,0,0.0
571,70.33,0.497,1.42,287.6,0,0.0
572,70.26,0.502,1.59,302.7,0,0.0
573,70.2,0.5,1.96,295.7,0,0.0
574,70.18,0.495,1.75,286.2,0,0.0
575,70.16,0.517,1.8,307.0,0,0.0
576,70.14,0.519,1.97,298.2,0,0.0
577,70.05,0.511,1.65,300.4,0,0.0
578,70.01,0.509,1.87,295.3,0,0.0
